,False,True,accuracy,macro avg,weighted avg
precision,0.7,0.75,0.72,0.72,0.72
recall,0.77,0.66,0.72,0.72,0.72
f1-score,0.73,0.7,0.72,0.72,0.72
support,62.0,62.0,0.72,124.0,124.0
